timestamp,process,protocol,local,remote,remote_host,status
2026-03-30 15:26:11,MEGAsync.exe,TCP,192.168.1.101:56908,185.206.25.65:443,-,ESTABLISHED
2026-03-30 15:26:11,MEGAsync.exe,TCP,192.168.1.101:56909,185.206.25.65:443,-,ESTABLISHED
2026-03-30 15:26:11,MEGAsync.exe,TCP,192.168.1.101:56905,66.203.125.11:443,-,ESTABLISHED
2026-03-30 15:26:11,MEGAsync.exe,TCP,192.168.1.101:64794,66.203.125.12:443,-,ESTABLISHED
2026-03-30 15:26:11,MEGAsync.exe,TCP,192.168.1.101:49667,66.203.125.15:443,-,ESTABLISHED
2026-03-30 15:26:11,MEGAsync.exe,TCP,192.168.1.101:50213,66.203.125.28:443,-,ESTABLISHED
2026-03-30 15:26:11,Spotify.exe,TCP,192.168.1.101:59766,104.199.65.9:443,-,ESTABLISHED
2026-03-30 15:26:11,Spotify.exe,TCP,192.168.1.101:62170,172.217.192.188:5228,-,ESTABLISHED
2026-03-30 15:26:11,Spotify.exe,TCP,192.168.1.101:59767,35.186.224.38:443,-,ESTABLISHED
2026-03-30 15:26:15,Code.exe,TCP,192.168.1.101:49226,51.116.253.169:443,-,ESTABLISHED
2026-03-30 15:26:19,Spotify.exe,TCP,192.168.1.101:59767,35.186.224.38:443,-,ESTABLISHED
2026-03-30 15:26:23,MEGAsync.exe,TCP,192.168.1.101:49229,185.206.25.61:443,-,ESTABLISHED
2026-03-30 15:26:23,MEGAsync.exe,TCP,192.168.1.101:49228,66.203.127.11:80,-,ESTABLISHED
2026-03-30 15:26:33,Code.exe,TCP,192.168.1.101:50060,51.116.253.169:443,-,ESTABLISHED
2026-03-30 15:26:37,MEGAsync.exe,TCP,192.168.1.101:50062,185.206.25.64:443,-,ESTABLISHED
2026-03-30 15:26:53,Code.exe,TCP,192.168.1.101:51320,169.254.169.254:80,-,SYN_SENT
2026-03-30 15:26:58,MEGAsync.exe,TCP,192.168.1.101:51322,185.206.25.62:443,-,ESTABLISHED
2026-03-30 15:27:02,Spotify.exe,TCP,192.168.1.101:59766,104.199.65.9:443,-,ESTABLISHED
2026-03-30 15:27:16,Code.exe,TCP,192.168.1.101:65354,51.116.253.169:443,-,ESTABLISHED
2026-03-30 15:27:20,Spotify.exe,TCP,192.168.1.101:59766,104.199.65.9:443,-,ESTABLISHED
2026-03-30 15:27:28,Spotify.exe,TCP,192.168.1.101:62170,172.217.192.188:5228,-,ESTABLISHED
2026-03-30 15:27:39,Code.exe,TCP,192.168.1.101:56496,104.46.162.225:443,-,ESTABLISHED
2026-03-30 15:27:39,Code.exe,TCP,192.168.1.101:50630,104.46.162.225:443,-,ESTABLISHED
2026-03-30 15:27:39,Code.exe,TCP,192.168.1.101:49341,40.71.11.167:443,-,ESTABLISHED
2026-03-30 15:27:43,MEGAsync.exe,TCP,192.168.1.101:50213,66.203.125.28:443,-,ESTABLISHED
2026-03-30 15:27:43,Spotify.exe,TCP,192.168.1.101:59766,104.199.65.9:443,-,ESTABLISHED
2026-03-30 15:27:43,Spotify.exe,TCP,192.168.1.101:62170,172.217.192.188:5228,-,ESTABLISHED
